"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "HTML", "JSON", "Prisma", "Properties", "SQL", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pottassiu\Documents\Weeat\Server\src\routes\favoriteRoutes.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\pottassiu\Documents\Weeat\Server\src\routes\planRoutes.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\pottassiu\Documents\Weeat\Server\src\routes\productRoutes.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\pottassiu\Documents\Weeat\Server\src\routes\storesRoutes.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\pottassiu\Documents\Weeat\Server\src\routes\usersRoutes.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\pottassiu\Documents\Weeat\Server\src\server.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\pottassiu\Documents\Weeat\Server\src\services\authService.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\pottassiu\Documents\Weeat\Server\src\services\favoriteService.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\pottassiu\Documents\Weeat\Server\src\services\planService.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\pottassiu\Documents\Weeat\Server\src\services\productService.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"c:\Users\pottassiu\Documents\Weeat\Server\src\services\storeService.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 157
"c:\Users\pottassiu\Documents\Weeat\Server\src\services\tokenService.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\pottassiu\Documents\Weeat\Server\src\services\userService.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 118
"c:\Users\pottassiu\Documents\Weeat\Server\src\tsup.config.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\pottassiu\Documents\Weeat\Server\tsconfig.json", "JSON with Comments", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 9, 114
"Total", "-", -1252, -2, 343768, 7, 882, 122, 3, 179, -1870, -22, -398, 20872, 2851, 365140
